Table 1
Category,Proxy,Unit,£ Value,Evidence,Evidence Match,Research Batch,
Employment & Skills,Additional earnings from using Global employment support services,on per,,https://www.gov.uk/government/collections/dwp-statistical-summaries,Direct/supporting UK source,1,
Encouraging economic growth and innovation,Average cost of employing a graduate Global (2019),f er,,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,Supporting source family,1,
Encouraging economic growth and innovation,Average earnings of a small business Global owner (2014),f es,,https://www.gov.uk/government/collections/dwp-statistical-summaries,Direct/supporting UK source,1,
Encouraging economic growth and innovation,Cost of Business Leadership Training max 4 sessions in total (includes 1 x   Global group and 3 x one to one) (2019),f,,https://www.gov.uk/government/publications/employer-skills-survey-2024-uk-report,Direct/supporting UK source,1,
Encouraging economic growth and innovation,Innovation support (voucher scheme) Global (2015),f tions,,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,Supporting source family,1,
Encouraging economic growth and innovation,Overall median turnover for an Global employing micro-business (2024),f tions,,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,Supporting source family,1,
Environmental sustainability,Energy savings from having floor Global insulation (soft furnishings),ehold,,https://www.gov.uk/government/publications/valuing-greenhouse-gas-emissions-in-policy-appraisal/valuation-of-greenhouse-gas-emissions-for-policy-appraisal-and-evaluation,Direct/supporting UK source,1,
"Environment, climate and place",Value of gardening as a hobby           Global,f,,https://www.gov.uk/government/publications/valuing-greenhouse-gas-emissions-in-policy-appraisal/valuation-of-greenhouse-gas-emissions-for-policy-appraisal-and-evaluation,Direct/supporting UK source,1,
Financial resilience and inclusion /app.socialvalueengine.co.uk/proxies - Social Value Engine,Cost of overcoming gap between poverty threshold and median income     Global (couple with no children),"f ds e 8 of 103 /2026, 17:30",,https://www.citizensadvice.org.uk/about-us/information/all-our-impact/,Direct/supporting UK source,1,
Financial resilience and inclusion,Cost of overcoming gap between poverty threshold and median income        Global (couple with two children),of olds,,https://www.citizensadvice.org.uk/about-us/information/all-our-impact/,Direct/supporting UK source,1,
Financial resilience and inclusion,Cost of overcoming gap between poverty threshold and median income        Global (single person with two children),of olds,,https://www.citizensadvice.org.uk/about-us/information/all-our-impact/,Direct/supporting UK source,1,
Financial resilience and inclusion,"Value of financial comfort (London, 25- Global 49)",of,,https://www.citizensadvice.org.uk/about-us/information/all-our-impact/,Direct/supporting UK source,1,
Financial resilience and inclusion,"Value of financial comfort (London, over Global 50)",of,,https://www.citizensadvice.org.uk/about-us/information/all-our-impact/,Direct/supporting UK source,1,
Financial resilience and inclusion,"Value of financial comfort (London, Global under 25)",of,,https://www.citizensadvice.org.uk/about-us/information/all-our-impact/,Direct/supporting UK source,1,
Financial resilience and inclusion,"Value of financial comfort (outside of Global London, 25-49)",of,,https://www.citizensadvice.org.uk/about-us/information/all-our-impact/,Direct/supporting UK source,1,
Financial resilience and inclusion,"Value of financial comfort (outside of Global London, over 50)",of,,https://www.citizensadvice.org.uk/about-us/information/all-our-impact/,Direct/supporting UK source,1,
Financial resilience and inclusion,"Value of financial comfort (outside of Global London, under 25)",of,,https://www.citizensadvice.org.uk/about-us/information/all-our-impact/,Direct/supporting UK source,1,
Good economy,Debt Reduction as a direct result of CAB Global intervention,rson,,https://www.citizensadvice.org.uk/about-us/information/all-our-impact/,Direct/supporting UK source,1,
Gross Value Added,GVA - Agriculture and Processing (All Global tables 2021),,,https://www.ons.gov.uk/economy/nationalaccounts/supplyandusetables/datasets/ukinputoutputanalyticaltablesindustrybyindustry/current,Direct UK dataset,1,
Gross Value Added,GVA - Care (All tables 2021)               Global,,,https://www.ons.gov.uk/economy/nationalaccounts/supplyandusetables/datasets/ukinputoutputanalyticaltablesindustrybyindustry/current,Direct UK dataset,1,
Gross Value Added,GVA - Construction (All tables 2021)       Global,,,https://www.ons.gov.uk/economy/nationalaccounts/supplyandusetables/datasets/ukinputoutputanalyticaltablesindustrybyindustry/current,Direct UK dataset,1,
Gross Value Added,GVA - Creative/Arts (All tables 2021)      Global,,,https://www.ons.gov.uk/economy/nationalaccounts/supplyandusetables/datasets/ukinputoutputanalyticaltablesindustrybyindustry/current,Direct UK dataset,1,
Gross Value Added,GVA - Finance (All tables 2021)            Global,,,https://www.ons.gov.uk/economy/nationalaccounts/supplyandusetables/datasets/ukinputoutputanalyticaltablesindustrybyindustry/current,Direct UK dataset,1,
Gross Value Added /app.socialvalueengine.co.uk/proxies - Social Value Engine,GVA - Health (All tables 2021)             Global,"age 9 of 103 026, 17:30",,https://www.ons.gov.uk/economy/nationalaccounts/supplyandusetables/datasets/ukinputoutputanalyticaltablesindustrybyindustry/current,Direct UK dataset,1,
Gross Value Added,GVA - Housing (All tables 2021)          Global,,,https://www.ons.gov.uk/economy/nationalaccounts/supplyandusetables/datasets/ukinputoutputanalyticaltablesindustrybyindustry/current,Direct UK dataset,1,
Gross Value Added,GVA - IT (All tables 2021)               Global,,,https://www.ons.gov.uk/economy/nationalaccounts/supplyandusetables/datasets/ukinputoutputanalyticaltablesindustrybyindustry/current,Direct UK dataset,1,
Gross Value Added,GVA - Local Authorities/Government/VCS (All tables   Global 2021),,,https://www.ons.gov.uk/economy/nationalaccounts/supplyandusetables/datasets/ukinputoutputanalyticaltablesindustrybyindustry/current,Direct UK dataset,1,
Gross Value Added,GVA - Manufacturing (All tables 2021)    Global,,,https://www.ons.gov.uk/economy/nationalaccounts/supplyandusetables/datasets/ukinputoutputanalyticaltablesindustrybyindustry/current,Direct UK dataset,1,
Gross Value Added,GVA - Rail (All tables 2021)             Global,,,https://www.ons.gov.uk/economy/nationalaccounts/supplyandusetables/datasets/ukinputoutputanalyticaltablesindustrybyindustry/current,Direct UK dataset,1,
Gross Value Added,GVA - Schools (All tables 2021)          Global,,,https://www.ons.gov.uk/economy/nationalaccounts/supplyandusetables/datasets/ukinputoutputanalyticaltablesindustrybyindustry/current,Direct UK dataset,1,
Gross Value Added,GVA - Sport (All tables 2021)            Global,,,https://www.ons.gov.uk/economy/nationalaccounts/supplyandusetables/datasets/ukinputoutputanalyticaltablesindustrybyindustry/current,Direct UK dataset,1,
Gross Value Added,GVA - Tourism (All tables 2021)          Global,,,https://www.ons.gov.uk/economy/nationalaccounts/supplyandusetables/datasets/ukinputoutputanalyticaltablesindustrybyindustry/current,Direct UK dataset,1,
